Regions-ID	Regionsname	Name und Nummer des Kantons
1	Z端rich	Z端rich (1)
2	Bern	Bern (2)
3	Luzern	Luzern (3)
4	Uri	Uri (4)
5	Schwyz	Schwyz (5)
6	Obwalden	Obwalden (6)
7	Nidwalden	Nidwalden (7)
8	Glarus	Glarus (8)
9	Zug	Zug (9)
10	Freiburg	Freiburg (10)
11	Solothurn	Solothurn (11)
12	Basel-Stadt	Basel-Stadt (12)
13	Basel-Landschaft	Basel-Landschaft (13)
14	Schaffhausen	Schaffhausen (14)
15	Appenzell Ausserrhoden	Appenzell A.Rh. (15)
16	Appenzell Innerrhoden	Appenzell I.Rh. (16)
17	St. Gallen	Sankt Gallen (17)
18	Graub端nden	Graub端nden (18)
19	Aargau	Aargau (19) 
20	Thurgau	Thurgau (20)
21	Tessin	Tessin (21)
22	Waadt	Waadt (22)
23	Wallis	Wallis (23)
24	Neuenburg	Neuenburg (24)
25	Genf	Genf (25)
26	Jura	Jura (26)
